variable, weight
level, 3.265383360255187
kills, 10.214732325421576
assists, 9.41857019724424
takedowns, 6.481326001423987
deaths, 8.593272735551537
highest_kill_streak, 0.5230899918224251
hero_damage, 0.8637195621323335
siege_damage, 10.176414177089105
structure_damage, 0.5053099770413053
minion_damage, 1.0251718091071274
creep_damage, 0.23217139375937595
summon_damage, 0.05947722707189821
time_cc_enemy_heroes, 0.33170737783359777
healing, 0.3386812140988715
self_healing, 0.6007219202204219
damage_taken, 0.7434967480339593
experience_contribution, 18.939857975795604
town_kills, 6.693756965605529
time_spent_dead, 0.6434018630164619
merc_camp_captures, 0.05749981780598749
watch_tower_captures, 1.5052225222103077
meta_experience, 0.015337672985835925
protection_allies, 0.39592209006968054
silencing_enemies, 0.11358702237796693
rooting_enemies, 0.1135870223779666
stunning_enemies, 0.20927870572630655
clutch_heals, 0.37789118726864945
escapes, 0.4520126129287475
vengeance, 4.298355938145333
outnumbered_deaths, 0.11494000908180729
teamfight_escapes, 0.23139341063658658
teamfight_healing, 0.7092312865867909
teamfight_damage_taken, 0.5186499327398386
teamfight_hero_damage, 7.7199408770160645
multikill, 0.3663126002117422
physical_damage, 0.7992370585849559
spell_damage, 0.5876507944789026
